일시,종목코드,구분,수량,단가,총금액,수익금,수익률(%),비고
2026-04-29 13:02:15,092790,BUY,1,21650,21650,0,0.0,Status: FILLED
2026-04-29 13:04:06,009830,SELL,4,47800,191200,2000,1.06,Status: FILLED
2026-04-29 13:05:05,0011T0,BUY,1,24550,24550,0,0.0,Status: FILLED
2026-04-29 13:05:05,034020,BUY,1,129200,129200,0,0.0,Status: FILLED
2026-04-29 13:05:05,001440,BUY,3,50700,152100,0,0.0,Status: FILLED
2026-04-29 13:07:06,092790,SELL,1,21600,21600,-50,-0.23,Status: FILLED
2026-04-29 13:20:06,047050,SELL,2,84200,168400,-600,-0.36,Status: FILLED
2026-04-29 13:21:05,0011T0,BUY,3,24100,72300,0,0.0,Status: FILLED
2026-04-29 13:22:06,475150,SELL,3,58900,176700,600,0.34,Status: FILLED
2026-04-29 13:22:06,002710,SELL,27,21450,579150,-2241,-0.39,Status: FILLED
2026-04-29 13:23:05,222080,BUY,1,18860,18860,0,0.0,Status: FILLED
2026-04-29 13:23:05,0011T0,BUY,4,23900,95600,0,0.0,Status: FILLED
2026-04-29 13:24:05,034020,SELL,1,129900,129900,700,0.54,Status: FILLED
2026-04-29 13:26:05,001440,SELL,3,51000,153000,900,0.59,Status: FILLED
2026-04-29 13:26:06,058430,BUY,1,9100,9100,0,0.0,Status: FILLED
2026-04-29 13:27:05,047040,BUY,4,36450,145800,0,0.0,Status: FILLED
2026-04-29 13:32:05,058430,BUY,19,9090,172710,0,0.0,Status: FILLED
2026-04-30 09:00:36,010170,SELL,13,15470,201110,7800,4.03,Status: FILLED
2026-04-30 09:01:07,010170,BUY,12,15470,185640,0,0.0,Status: FILLED
2026-04-30 09:01:07,001440,BUY,3,50800,152400,0,0.0,Status: FILLED
2026-04-30 09:01:07,475150,BUY,3,61000,183000,0,0.0,Status: FILLED
2026-04-30 09:01:07,017510,BUY,14,14240,199360,0,0.0,Status: FILLED
2026-04-30 09:01:08,098460,BUY,4,42050,168200,0,0.0,Status: FILLED
2026-04-30 09:01:09,488280,BUY,8,24800,198400,0,0.0,Status: FILLED
2026-04-30 09:01:09,027360,BUY,11,16740,184140,0,0.0,Status: FILLED
2026-04-30 09:01:09,058430,BUY,1,8790,8790,0,0.0,Status: FILLED
2026-04-30 09:03:08,475150,SELL,3,60700,182100,0,0.0,Status: FILLED
2026-04-30 09:10:08,178320,SELL,3,58000,174000,4800,2.84,Status: FILLED
2026-04-30 09:22:07,010170,SELL,12,15710,188520,0,0.0,Status: FILLED
2026-04-30 09:31:56,017510,SELL,14,15210,212940,0,0.0,Status: FILLED
2026-04-30 09:34:05,488280,SELL,8,25800,206400,8000,4.03,Status: FILLED
2026-04-30 09:36:08,001440,SELL,3,51800,155400,0,0.0,Status: FILLED
2026-04-30 09:46:22,002710,SELL,12,20000,240000,0,0.0,Status: FILLED
2026-04-30 09:46:25,199820,BUY,10,19560,195600,0,0.0,Status: FILLED
2026-04-30 09:46:26,161000,BUY,12,16060,192720,0,0.0,Status: FILLED
2026-04-30 09:46:29,004020,SELL,8,43300,346400,0,0.0,Status: FILLED
2026-04-30 09:46:30,001510,BUY,36,5500,198000,0,0.0,Status: FILLED
2026-04-30 09:46:31,454910,BUY,1,111300,111300,0,0.0,Status: FILLED
2026-04-30 09:46:34,098460,SELL,4,40300,161200,0,0.0,Status: FILLED
2026-04-30 09:46:38,222080,BUY,6,17780,106680,0,0.0,Status: FILLED
2026-04-30 09:46:44,222080,SELL,1,17760,17760,-174,-0.97,Status: FILLED
2026-04-30 09:46:46,027360,SELL,11,15640,172040,0,0.0,Status: FILLED
2026-04-30 09:46:49,058430,SELL,21,8380,175980,-14616,-7.67,Status: FILLED
2026-04-30 09:46:49,336260,BUY,1,61100,61100,0,0.0,Status: FILLED
2026-04-30 09:47:05,034020,BUY,1,128200,128200,0,0.0,Status: FILLED
2026-04-30 09:47:05,001440,BUY,2,52600,105200,0,0.0,Status: FILLED
2026-04-30 09:47:05,027360,BUY,2,15650,31300,0,0.0,Status: FILLED
2026-04-30 09:48:30,047040,SELL,4,35100,140400,-5400,-3.7,Status: FILLED
2026-04-30 09:52:36,199820,SELL,10,18780,187800,-7800,-3.99,Status: FILLED
2026-04-30 09:52:56,001440,SELL,2,53200,106400,1400,1.33,Status: FILLED
2026-04-30 09:53:06,336260,SELL,1,61300,61300,200,0.33,Status: FILLED
2026-04-30 09:55:06,001510,SELL,36,5470,196920,-1080,-0.55,Status: FILLED
2026-04-30 09:55:06,454910,SELL,1,110200,110200,-1100,-0.99,Status: FILLED
2026-04-30 09:56:06,006360,BUY,5,38650,193250,0,0.0,Status: FILLED
2026-04-30 09:56:07,047040,BUY,5,35500,177500,0,0.0,Status: FILLED
2026-04-30 09:56:07,002710,BUY,9,20050,180450,0,0.0,Status: FILLED
2026-04-30 09:56:07,004020,BUY,4,43450,173800,0,0.0,Status: FILLED
2026-04-30 10:08:04,199820,SELL,10,17890,178900,0,0.0,Status: FILLED
2026-04-30 10:45:15,027360,SELL,2,15080,30160,-1140,-3.64,Status: FILLED
2026-04-30 12:08:23,006360,SELL,5,38450,192250,-1000,-0.52,Status: FILLED
2026-04-30 12:10:29,006360,SELL,5,38400,192000,0,0.0,Status: FILLED
2026-04-30 12:10:32,199820,BUY,11,16980,186780,0,0.0,Status: FILLED
2026-04-30 12:10:38,010170,BUY,13,15110,196430,0,0.0,Status: FILLED
2026-04-30 12:10:38,010170,BUY,13,15110,196430,0,0.0,Status: FILLED
2026-04-30 12:10:41,199820,BUY,11,16980,186780,0,0.0,Status: FILLED
2026-04-30 12:10:43,002710,SELL,9,19950,179550,0,0.0,Status: FILLED
2026-04-30 12:10:57,047040,SELL,5,35200,176000,0,0.0,Status: FILLED
2026-04-30 12:11:24,034020,SELL,1,127400,127400,0,0.0,Status: FILLED
2026-04-30 12:30:33,199820,SELL,22,17320,381040,7480,2.0,Status: FILLED
2026-04-30 12:40:05,222080,SELL,6,17640,105840,-1764,-1.64,Status: FILLED
2026-04-30 12:54:06,004020,SELL,4,43000,172000,-1800,-1.04,Status: FILLED
2026-04-30 14:40:38,010140,SELL,5,32500,162500,-2250,-1.37,Status: FILLED
2026-04-30 14:40:57,010170,SELL,26,15190,394940,2080,0.53,Status: FILLED
2026-04-30 14:41:12,004020,SELL,4,42750,171000,0,0.0,Status: FILLED
2026-05-04 09:01:20,093370,BUY,14,13980,195720,0,0.0,Status: FILLED
2026-05-04 09:01:25,060370,BUY,4,40650,162600,0,0.0,Status: FILLED
2026-05-04 09:08:20,161000,SELL,12,15210,182520,-10200,-5.29,Status: FILLED
2026-05-04 09:08:23,034020,BUY,1,127600,127600,0,0.0,Status: FILLED
2026-05-04 09:08:28,001440,BUY,3,59900,179700,0,0.0,Status: FILLED
2026-05-04 09:08:37,006800,BUY,2,67200,134400,0,0.0,Status: FILLED
2026-05-04 09:12:36,010140,SELL,5,31700,158500,-6250,-3.79,Status: FILLED
2026-05-04 09:15:05,046890,BUY,10,18840,188400,0,0.0,Status: FILLED
2026-05-04 09:16:05,006340,BUY,11,18140,199540,0,0.0,Status: FILLED
2026-05-04 09:17:05,025860,BUY,14,12630,176820,0,0.0,Status: FILLED
2026-05-04 09:19:07,001440,SELL,3,62300,186900,7200,4.01,Status: FILLED
2026-05-04 09:21:06,025860,SELL,14,12130,169820,-6580,-3.73,Status: FILLED
2026-05-04 09:22:05,010170,BUY,11,16880,185680,0,0.0,Status: FILLED
2026-05-04 09:23:05,010170,SELL,11,16900,185900,220,0.12,Status: FILLED
2026-05-04 09:31:22,006340,SELL,11,17480,192280,-7260,-3.64,Status: FILLED
2026-05-04 09:32:05,010170,BUY,11,17370,191070,0,0.0,Status: FILLED
2026-05-04 09:33:46,046890,SELL,10,18140,181400,0,0.0,Status: FILLED
2026-05-04 09:38:04,010170,SELL,11,18070,198770,0,0.0,Status: FILLED
2026-05-04 09:38:07,161000,BUY,12,15240,182880,0,0.0,Status: FILLED
2026-05-04 09:47:00,010170,BUY,11,17100,188100,0,0.0,Status: FILLED
2026-05-04 09:47:11,001440,BUY,3,61100,183300,0,0.0,Status: FILLED
2026-05-04 09:47:16,046890,BUY,11,17920,197120,0,0.0,Status: FILLED
2026-05-04 09:47:28,047050,BUY,2,86200,172400,0,0.0,Status: FILLED
2026-05-04 09:48:05,010170,SELL,11,17060,187660,-330,-0.18,Status: FILLED
2026-05-04 09:49:05,046890,SELL,11,17980,197780,660,0.33,Status: FILLED
2026-05-04 09:51:06,011200,BUY,5,21350,106750,0,0.0,Status: FILLED
2026-05-04 09:54:06,009830,BUY,1,50500,50500,0,0.0,Status: FILLED
2026-05-04 10:22:18,025860,BUY,17,11700,198900,0,0.0,Status: FILLED
2026-05-04 10:22:32,033100,BUY,2,89800,179600,0,0.0,Status: FILLED
2026-05-04 10:22:38,459510,BUY,6,30100,180600,0,0.0,Status: FILLED
2026-05-04 10:24:05,006800,SELL,2,68200,136400,2000,1.49,Status: FILLED
2026-05-04 10:31:05,033100,SELL,2,91400,182800,3200,1.78,Status: FILLED
2026-05-04 10:32:05,060370,BUY,1,48250,48250,0,0.0,Status: FILLED
2026-05-04 10:49:05,034020,SELL,1,126500,126500,-1100,-0.86,Status: FILLED
2026-05-04 10:52:05,006340,BUY,6,17660,105960,0,0.0,Status: FILLED
2026-05-04 11:40:11,047040,BUY,6,31350,188100,0,0.0,Status: FILLED
2026-05-04 11:40:30,002710,BUY,9,20200,181800,0,0.0,Status: FILLED
2026-05-04 11:44:13,006340,SELL,6,17020,102120,-3840,-3.62,Status: FILLED
2026-05-04 11:47:05,199820,BUY,1,20400,20400,0,0.0,Status: FILLED
2026-05-04 12:45:04,199820,SELL,1,21250,21250,850,4.17,Status: FILLED
2026-05-04 13:04:05,006360,BUY,5,35800,179000,0,0.0,Status: FILLED
2026-05-04 13:06:07,006360,SELL,5,35800,179000,0,0.0,Status: FILLED
2026-05-04 13:30:07,459510,SELL,6,30100,180600,0,0.0,Status: FILLED
2026-05-04 13:49:25,046890,BUY,11,18040,198440,0,0.0,Status: FILLED
2026-05-04 13:50:06,047050,SELL,2,87400,174800,2400,1.39,Status: FILLED
2026-05-04 13:50:31,050890,BUY,9,18900,170100,0,0.0,Status: FILLED
2026-05-04 13:51:06,009830,SELL,1,50300,50300,-200,-0.4,Status: FILLED
2026-05-04 13:52:05,050890,BUY,2,18990,37980,0,0.0,Status: FILLED
2026-05-04 13:52:05,093370,BUY,3,13950,41850,0,0.0,Status: FILLED
2026-05-04 13:54:06,050890,SELL,2,19250,38500,520,1.37,Status: FILLED
2026-05-04 14:21:05,025860,SELL,17,11540,196180,-2720,-1.37,Status: FILLED
2026-05-04 14:54:05,006910,BUY,10,14380,143800,0,0.0,Status: FILLED
2026-05-04 15:14:05,027360,BUY,5,15550,77750,0,0.0,Status: FILLED
2026-05-06 09:31:30,015760,BUY,4,45250,181000,0,0.0,Status: FILLED
2026-05-06 09:31:40,006340,BUY,10,19160,191600,0,0.0,Status: FILLED
2026-05-06 09:31:43,011200,SELL,5,20700,103500,-3250,-3.04,Status: FILLED
2026-05-06 09:31:52,006910,SELL,10,14820,148200,4400,3.06,Status: FILLED
2026-05-06 09:32:03,034020,BUY,1,127300,127300,0,0.0,Status: FILLED
2026-05-06 09:32:05,006340,SELL,10,19120,191200,-400,-0.21,Status: FILLED
2026-05-06 09:32:05,015760,SELL,4,45350,181400,400,0.22,Status: FILLED
2026-05-06 09:32:09,050890,SELL,9,17700,159300,-10800,-6.35,Status: FILLED
2026-05-06 09:33:05,034020,SELL,1,127200,127200,-100,-0.08,Status: FILLED
2026-05-06 09:33:06,027360,SELL,5,15880,79400,1650,2.12,Status: FILLED
2026-05-06 09:36:06,060370,BUY,4,49600,198400,0,0.0,Status: FILLED
2026-05-06 09:37:06,033100,BUY,2,86300,172600,0,0.0,Status: FILLED
2026-05-06 09:39:06,033100,SELL,2,86700,173400,800,0.46,Status: FILLED
2026-05-06 09:39:06,060370,BUY,3,50100,150300,0,0.0,Status: FILLED
2026-05-06 09:40:10,050890,BUY,11,17540,192940,0,0.0,Status: FILLED
2026-05-06 09:41:09,033100,BUY,2,86000,172000,0,0.0,Status: FILLED
2026-05-06 09:42:06,033100,BUY,2,86200,172400,0,0.0,Status: FILLED
2026-05-06 09:43:06,050890,SELL,11,17590,193490,550,0.29,Status: FILLED
2026-05-06 09:44:06,050890,BUY,11,17530,192830,0,0.0,Status: FILLED
2026-05-06 09:45:06,033100,SELL,2,86900,173800,1400,0.81,Status: FILLED
2026-05-06 09:46:05,047040,BUY,6,32800,196800,0,0.0,Status: FILLED
2026-05-06 09:47:06,064260,BUY,23,8380,192740,0,0.0,Status: FILLED
2026-05-06 09:49:06,010140,BUY,6,31800,190800,0,0.0,Status: FILLED
2026-05-06 09:50:05,064260,SELL,23,8470,194810,2070,1.07,Status: FILLED
2026-05-06 09:53:05,080220,BUY,3,58000,174000,0,0.0,Status: FILLED
2026-05-06 09:53:05,010140,SELL,6,31950,191700,900,0.47,Status: FILLED
2026-05-06 09:54:05,006910,BUY,13,15110,196430,0,0.0,Status: FILLED
2026-05-06 09:55:06,015760,BUY,4,45450,181800,0,0.0,Status: FILLED
2026-05-06 09:55:06,064260,BUY,23,8350,192050,0,0.0,Status: FILLED
2026-05-06 09:57:05,050890,SELL,11,17800,195800,2970,1.54,Status: FILLED
2026-05-06 09:57:05,006340,BUY,10,18600,186000,0,0.0,Status: FILLED
2026-05-06 09:58:05,027360,BUY,12,15490,185880,0,0.0,Status: FILLED
2026-05-06 09:58:05,018880,BUY,37,5320,196840,0,0.0,Status: FILLED
2026-05-06 10:01:05,018880,SELL,37,5250,194250,-2590,-1.32,Status: FILLED
2026-05-06 10:01:05,060370,SELL,7,50100,350700,2002,0.57,Status: FILLED
2026-05-06 10:02:07,018880,BUY,9,5270,47430,0,0.0,Status: FILLED
2026-05-06 10:03:05,018880,SELL,9,5200,46800,0,0.0,Status: FILLED
2026-05-06 10:03:05,016360,BUY,1,144800,144800,0,0.0,Status: FILLED
2026-05-06 10:05:06,018880,BUY,12,5180,62160,0,0.0,Status: FILLED
2026-05-06 10:11:05,080220,SELL,3,57400,172200,0,0.0,Status: FILLED
2026-05-06 10:11:05,006800,BUY,1,80500,80500,0,0.0,Status: FILLED
2026-05-06 10:11:05,010140,BUY,1,31750,31750,0,0.0,Status: FILLED
2026-05-06 10:18:05,006340,SELL,10,19170,191700,5700,3.06,Status: FILLED
2026-05-06 10:19:05,027360,SELL,12,15460,185520,-360,-0.19,Status: FILLED
2026-05-06 10:19:05,0167A0,BUY,4,16650,66600,0,0.0,Status: FILLED
2026-05-06 10:20:06,010170,BUY,7,17900,125300,0,0.0,Status: FILLED
2026-05-06 10:20:06,034020,BUY,1,126900,126900,0,0.0,Status: FILLED
2026-05-06 10:21:05,0167A0,SELL,4,16600,66400,0,0.0,Status: FILLED
2026-05-06 10:31:05,010140,SELL,1,31800,31800,0,0.0,Status: FILLED
2026-05-06 10:31:05,034020,SELL,1,127400,127400,500,0.39,Status: FILLED
2026-05-06 10:33:05,064260,SELL,23,8250,189750,0,0.0,Status: FILLED
2026-05-06 10:33:06,027360,BUY,2,15400,30800,0,0.0,Status: FILLED
2026-05-06 10:36:05,047040,SELL,6,31900,191400,-5400,-2.74,Status: FILLED
2026-05-06 10:37:05,010140,BUY,5,31750,158750,0,0.0,Status: FILLED
2026-05-06 10:38:05,018880,SELL,12,5270,63240,1080,1.74,Status: FILLED
2026-05-06 10:39:05,047040,BUY,2,32000,64000,0,0.0,Status: FILLED
2026-05-06 10:43:05,010170,SELL,7,17950,125650,350,0.28,Status: FILLED
2026-05-06 10:46:31,064260,BUY,8,8260,66080,0,0.0,Status: FILLED
2026-05-06 10:47:05,006910,SELL,13,15480,201240,4810,2.45,Status: FILLED
2026-05-06 10:47:05,015760,SELL,4,45400,181600,-200,-0.11,Status: FILLED
2026-05-06 10:48:06,010170,BUY,11,17960,197560,0,0.0,Status: FILLED
2026-05-06 10:49:05,006800,SELL,1,80500,80500,0,0.0,Status: FILLED
2026-05-06 10:49:05,064260,SELL,8,8260,66080,0,0.0,Status: FILLED
2026-05-06 10:49:06,010170,SELL,11,18140,199540,1980,1.0,Status: FILLED
2026-05-06 10:50:05,016360,SELL,1,146200,146200,1400,0.97,Status: FILLED
2026-05-06 10:51:06,011790,BUY,1,161200,161200,0,0.0,Status: FILLED
2026-05-06 10:52:05,047040,SELL,2,31850,63700,0,0.0,Status: FILLED
2026-05-06 10:52:07,011790,BUY,1,161200,161200,0,0.0,Status: FILLED
2026-05-06 10:53:05,047040,BUY,5,31800,159000,0,0.0,Status: FILLED
2026-05-06 10:53:07,027360,SELL,2,15320,30640,-160,-0.52,Status: FILLED
2026-05-06 11:11:08,010140,SELL,5,31700,158500,0,0.0,Status: FILLED
2026-05-06 11:31:05,047040,SELL,5,31950,159750,750,0.47,Status: FILLED
2026-05-06 11:32:05,010170,BUY,1,17960,17960,0,0.0,Status: FILLED
2026-05-06 11:34:34,016360,BUY,1,145600,145600,0,0.0,Status: FILLED
2026-05-06 11:34:57,010170,SELL,1,17990,17990,30,0.17,Status: FILLED
2026-05-06 11:35:06,064260,BUY,24,8040,192960,0,0.0,Status: FILLED
2026-05-06 11:36:05,016360,SELL,1,145200,145200,-400,-0.27,Status: FILLED
2026-05-06 11:36:05,047040,BUY,6,31950,191700,0,0.0,Status: FILLED
2026-05-06 11:40:46,047040,SELL,6,31850,191100,-600,-0.31,Status: FILLED
2026-05-06 11:40:49,064260,SELL,24,8090,194160,1200,0.62,Status: FILLED
2026-05-06 11:41:05,064260,BUY,24,8090,194160,0,0.0,Status: FILLED
2026-05-06 11:48:14,010170,BUY,11,18070,198770,0,0.0,Status: FILLED
2026-05-06 11:50:05,001440,BUY,2,70000,140000,0,0.0,Status: FILLED
2026-05-06 11:52:06,007610,BUY,14,13810,193340,0,0.0,Status: FILLED
2026-05-06 11:55:05,001510,BUY,35,5680,198800,0,0.0,Status: FILLED
2026-05-06 11:56:59,001510,BUY,35,5690,199150,0,0.0,Status: FILLED
2026-05-06 11:57:02,047040,BUY,6,31950,191700,0,0.0,Status: FILLED
2026-05-06 11:57:05,001510,SELL,35,5690,199150,0,0.0,Status: FILLED
2026-05-06 11:58:05,001510,BUY,52,5710,296920,0,0.0,Status: FILLED
2026-05-06 11:59:06,336260,BUY,3,78100,234300,0,0.0,Status: FILLED
2026-05-06 12:01:05,006910,BUY,18,15790,284220,0,0.0,Status: FILLED
2026-05-06 12:02:06,016360,BUY,2,146400,292800,0,0.0,Status: FILLED
2026-05-06 12:02:06,066570,BUY,1,155200,155200,0,0.0,Status: FILLED
2026-05-06 12:17:15,007610,SELL,14,13300,186200,-7140,-3.69,Status: FILLED
2026-05-06 12:26:10,016360,SELL,2,152300,304600,11800,4.03,Status: FILLED
2026-05-06 12:40:56,006800,BUY,3,83000,249000,0,0.0,Status: FILLED
2026-05-06 12:42:05,006800,SELL,3,83300,249900,900,0.36,Status: FILLED
2026-05-06 12:43:05,016360,BUY,1,151300,151300,0,0.0,Status: FILLED
2026-05-06 12:44:05,018880,BUY,55,5440,299200,0,0.0,Status: FILLED
2026-05-06 13:12:17,336260,SELL,3,75200,225600,-8700,-3.71,Status: FILLED
2026-05-06 13:14:05,010140,BUY,9,31900,287100,0,0.0,Status: FILLED
2026-05-06 13:22:05,010170,SELL,11,18330,201630,2860,1.44,Status: FILLED
2026-05-06 13:36:08,001440,SELL,2,67400,134800,-5200,-3.71,Status: FILLED
2026-05-06 13:56:05,098460,BUY,7,41200,288400,0,0.0,Status: FILLED
